nodeID,nodeUserID,nodeTime,actionType,videoID,platform
AUKioIz5rgP1xraItRS58A,A4t0A_OiGHCQIz9qF1TVMQ,2018-10-30 09:55:38,tweet,Jq4LEIO740A,twitter
vBZMHgyB-zJg0kahxnc2YQ,lSmQYvUcuGn6oFyjGJduDw,2018-10-19 19:05:56,tweet,TEbHM0aIako,twitter
wFODg2fK6n1_TiCAQA_cVg,j1uuKlU_WFpqEXgYS3pPHw,2018-04-24 13:26:08,reply,O31d9cRuKtE,twitter
Wjm26PF2r3J_cTnjZECqVA,iFOF4jUW90iRZAVKhLG3OQ,2018-07-26 15:15:14,reply,su2H0CJ60Oo,twitter
O_2gOAFGUgYFwBsVfpRzKg,b3mOOKfG8-ir8TukesGkZQ,2018-12-07 17:56:05,tweet,TEbHM0aIako,twitter
z5plzSh65Re55H3_f5BsWg,oe-525zy4XdNCvWhl4uySg,2018-04-28 09:16:49,tweet,3vNwe7yKbwo,twitter
ifevHUNNKxoyxaaF9E7pJg,3eEmQcMBvYORK2hdrAEXMg,2018-08-12 00:33:02,tweet,CCmN6X_7kn0,twitter
WBxCPbY5lskZb2pejP6JHQ,3eEmQcMBvYORK2hdrAEXMg,2018-04-13 03:30:54,tweet,Oau4Nkg2yzc,twitter
c5BVh-oOmqBS3eg9xU4OyA,QmmgVFsrqUS_WJCNCDWIXQ,2019-02-06 21:40:22,tweet,aIlVHV9hmOM,twitter
-NHNfFhKb0Cb4Ma12ao36A,IGIp-2BajYnLBwM2ZrrEPg,2018-05-15 15:30:55,reply,jEsXdal_r6Y,twitter
KvdElDWBgZ3egWYJ9hyP2Q,NFh9CwU0Qkvu-YoPJNC6Gg,2018-04-24 05:30:05,tweet,CCmN6X_7kn0,twitter
j3s2BGTnQuLOeSiTfTRvqQ,eoDsxNfHoFqAtzo6Iz8zYw,2018-12-23 13:04:03,tweet,thxkhGqTdPg,twitter
EcrwMdtnY7HSpuAo88iYrA,Pm7lrE6CUw6bClicB8We9w,2018-05-05 07:33:44,reply,2ChDjzVL434,twitter
98GpmcVtPS0CErZVgcOG1w,lSmQYvUcuGn6oFyjGJduDw,2018-06-16 09:33:10,tweet,5jCHvtVpdfQ,twitter
akMeVhiHxM6BvZqRqLs0CA,_8QvlzXycYHR3qaAXEe_Og,2018-11-27 15:19:28,reply,3vNwe7yKbwo,twitter
t4u3qWf_fuxU9cNbwghcsg,wKSk-rn7yvHoTMrIiX_nMg,2018-05-11 16:04:07,tweet,yaZRZo9FGQI,twitter
1iVesNpO6K8Dc501hFxB8Q,BWz9g3a1XXILwtKqnIUg3Q,2018-04-14 09:46:55,reply,CCmN6X_7kn0,twitter
aFZZunXwBKJn8AvMnVaQMQ,vmKmYCnqHhHl59mioNju8A,2018-07-28 22:44:01,tweet,CCmN6X_7kn0,twitter
In29NHkpvmK4HThOW0FjXw,KODHxm5mMtuGEdISlhXKrw,2018-07-23 17:42:31,tweet,u83GMxBxmC0,twitter
Z1L9E83fBb_iVHisxa8m_g,m7MiqHV4-TCdhN7VcLeouA,2019-03-27 02:08:59,tweet,thxkhGqTdPg,twitter
la6tBk_P5GRA5hVw_h_jZw,qL_s_HFvqbxsVG-_-XHR_g,2018-04-09 12:12:05,tweet,6c0ZpPh5d-Y,twitter
qpATXT-JNqYb0yJQy8BCzA,J1zX6OwuQCs2-J1lkGO-Fg,2018-07-29 19:04:31,tweet,o6vCzaErVZc,twitter
Npkau8KohlMxu16L0W-u0g,ilL6hs50hgmcNLEQURgdXg,2018-07-23 11:32:37,tweet,p3dYi8GV3Ts,twitter
FR9gXq7ONe0CdOrwYQ4mRA,l0qlYO7_yqgkADgB9VRBSw,2019-04-13 12:49:18,reply,K8c1upfzZXU,twitter
KcuYye7iDaFRSoq9YKUWlw,CIgDMGs_Fl--tpAbqub1_w,2018-05-04 23:12:55,tweet,DPgOnD0n9uw,twitter
SuDKss_WZ81sopvuKwud5A,CIgDMGs_Fl--tpAbqub1_w,2018-07-22 09:51:40,tweet,5k6hSS6xBTw,twitter
iyfWPXysXKZOEnI5bGDskg,YCCIIJqxv2jdVUga9YyqFQ,2019-03-12 02:05:14,tweet,bSl1wT6Q0Lg,twitter
pwXwuwRKt9UL2bKR-e7_ow,ujBzZSZJ3xhX-IO-SKxPLw,2018-07-22 20:04:33,reply,wV75b-j2vIQ,twitter
wjy4vq1-fOedRRujdTzgqw,ujBzZSZJ3xhX-IO-SKxPLw,2018-05-21 14:27:58,reply,-GOVSjwtAT0,twitter
5sub0bZROQyhq-36roTlPw,LfXZrCe8glddTaN6ThYDFA,2019-03-19 16:41:47,tweet,daXmHZ8Q0Sc,twitter
LZRMNW0YP5vdTjQCVvpD2g,hQDF60dSLtRH4skyLN__JA,2018-05-23 14:14:25,tweet,CCmN6X_7kn0,twitter
Qagg1TKEKtznDf_LAEexog,SGUOCOO9q95ZfxLb6D1rbQ,2019-02-19 09:04:03,tweet,3vNwe7yKbwo,twitter
YyVrV-jDnEq1EaV9g439_w,dK2cwCta9ys16EDtXOW3rg,2018-05-05 04:44:32,tweet,3vNwe7yKbwo,twitter
VsWqI115vhrUgZQUxPe84A,dK2cwCta9ys16EDtXOW3rg,2019-01-12 15:46:55,tweet,3vNwe7yKbwo,twitter
FEeRIVkItDONGa9aR38Pfw,lSmQYvUcuGn6oFyjGJduDw,2019-01-29 21:25:25,tweet,wV75b-j2vIQ,twitter
U9LQ28dbBBCUIwOk1SUYzQ,3GdIiRkupkMam8HKrBnqUA,2018-04-14 15:43:18,tweet,3vNwe7yKbwo,twitter
g9NYy-2gyBbCHcsoP5VgDw,3GdIiRkupkMam8HKrBnqUA,2018-07-22 13:37:09,tweet,CCmN6X_7kn0,twitter
PslXGCxUYqwNqj_u2Fs6sA,SxA00nufdyTiu5GrmdG1Ig,2018-05-24 21:02:23,reply,5jCHvtVpdfQ,twitter
E-yloXvx5vuE0x38XK4g2g,lSmQYvUcuGn6oFyjGJduDw,2018-12-23 13:55:05,tweet,3vNwe7yKbwo,twitter
URjDptEKHJ7ZIA2Kt0C2lw,3V0zOJnRB-Klp5Sm8wv5kQ,2019-01-13 00:57:44,tweet,0ZzE6JLChEQ,twitter
URjDptEKHJ7ZIA2Kt0C2lw,3V0zOJnRB-Klp5Sm8wv5kQ,2018-05-16 13:39:45,tweet,CV9eHuJz-WQ,twitter
IGOzReGucp80AqHc_Vz0Sw,lSmQYvUcuGn6oFyjGJduDw,2018-07-26 14:26:22,tweet,DPgOnD0n9uw,twitter
51N-jvq9ZUgllqIKnmCpKA,e3qUb9_LSSh8wy0Oa62tnA,2018-04-22 14:13:24,tweet,NQL3rX6xWRg,twitter
5ZRxfQW4KANARMUNQkFf3g,k-6j7GJ_ccUoEmNmLQRavA,2018-04-29 03:43:47,reply,CCmN6X_7kn0,twitter
4WYHzPonqplHsrCJiuAXYQ,k-6j7GJ_ccUoEmNmLQRavA,2018-04-19 06:21:59,reply,2FUpbZXaN9w,twitter
ExUwfbjn0ual3GUaPjQ1uQ,vrMpDHBHf1DMJinK2d27lg,2018-04-15 02:11:06,tweet,tvVaG10AEI0,twitter
AOx0wlk-_WfRs8khVaM27g,lSmQYvUcuGn6oFyjGJduDw,2018-04-11 18:44:11,tweet,tvVaG10AEI0,twitter
6tr4G68nsuMe4h8WUirk2Q,ovjR1kIL7_Bu3ytAzeZ60A,2019-02-16 15:45:39,reply,CCmN6X_7kn0,twitter
67-HmI-nNuEiQG9DkHCuvw,IcQWC6IkynXcp67G_IPDyQ,2018-05-09 09:23:46,reply,lC7ZxdFzdzQ,twitter
gTTJFxqIVl-_iLXS2lMH9Q,IcQWC6IkynXcp67G_IPDyQ,2019-01-20 18:27:10,quote,CCmN6X_7kn0,twitter
ahcy7XxQL3hVzGcFr2qSaA,ZzLKzMnNnQlMKsevmPWngg,2018-04-14 02:47:45,reply,IamcFOosbGA,twitter
98FScEE6poMid0gB3eb14w,ZzLKzMnNnQlMKsevmPWngg,2018-04-19 07:30:50,reply,qMpJT2f5Xc8,twitter
CMsjt9X863AM9LnnsY7NxA,JTNo3--vXvkDA-pR9b-Khw,2019-03-04 04:05:49,reply,3HCFol7g-FU,twitter
0Ipa6WRByRLcO6bpBZcu3w,SGUOCOO9q95ZfxLb6D1rbQ,2018-12-12 09:31:27,tweet,CCmN6X_7kn0,twitter
gp-C9P-QNQt6H0H6z2n0Ag,8COUbq8uf2M7TjNcjt_PTg,2019-03-29 20:16:33,reply,DPgOnD0n9uw,twitter
qbNm9vEqhn0m1U_cY1tiUw,8COUbq8uf2M7TjNcjt_PTg,2018-04-13 20:54:17,quote,3vNwe7yKbwo,twitter
-5jrkx49OzEmunEM7OWckA,SGUOCOO9q95ZfxLb6D1rbQ,2018-12-22 03:41:26,reply,CCmN6X_7kn0,twitter
uQo5INHI0DGHjgtgEUX5Ig,SGUOCOO9q95ZfxLb6D1rbQ,2019-02-17 20:55:12,tweet,0EXtHoOi7_4,twitter
iKE1wfrqvEsIq4yVRe6uUg,Tb7rWVe3K73lbpb6wWJCqA,2018-09-10 19:53:20,tweet,zZVidH9NAuQ,twitter
fVQ8c_qpkGmIn2ZsKEAqAg,ofCdGCumbEh_9-jwxA_0Iw,2018-05-02 18:18:43,reply,RqNoDQn9LXY,twitter
UXkbAyn1pzNliOgNBvNp5w,ofCdGCumbEh_9-jwxA_0Iw,2018-08-31 18:30:54,reply,OA0wvsJ_68A,twitter
q7qPbkBC2raIzGO44Sev1Q,ev2obIiRHGJBIyqvPw_SHg,2018-07-23 11:47:16,tweet,3vNwe7yKbwo,twitter
9KNb_GEDxyp--N9MeQlZ6A,j4E9aRP65pWWpOTCKekDZQ,2018-08-30 17:34:09,reply,zwQvinmry5U,twitter
fZiD8LHcfnAoSAuisluwUA,tCyzsUrFWgp3CUOkLrIADA,2018-05-15 18:52:04,reply,3vNwe7yKbwo,twitter
EU9S4ZY7XF5yozEv2o87bA,hgHTOGsYhzGk98mEIe6MUA,2018-05-08 14:58:40,tweet,SgGNzj6rKqI,twitter
FjSzJ4r7a2bjZymWqDgedw,hgHTOGsYhzGk98mEIe6MUA,2018-09-16 06:50:31,tweet,tvVaG10AEI0,twitter
SJ1avSC2X84C_WQOdXHBYQ,hgHTOGsYhzGk98mEIe6MUA,2018-05-14 03:34:10,tweet,OfoHWGPSX1Q,twitter
aFAtBS4Eb__1D9R4api7Bg,kwC4R_DM16nb-02iMf4rLA,2018-08-28 00:37:09,reply,tvVaG10AEI0,twitter
IGTmM1y6Oq04v9bik3wEuw,q-NApV14ZTMn0zEhJWCZdA,2018-06-16 08:35:34,tweet,vpjO6yDglNs,twitter
fMFTK282Yfema01g9AiJCg,Tau6DEb0a3XI9JVNsjvNfw,2019-02-04 13:05:47,reply,KbHdpAzyxj8,twitter
edOGYzn5abeKaw4kurQJ4Q,UyVFhnexprMoKtF0H4halw,2018-11-11 22:50:53,reply,CCmN6X_7kn0,twitter
VSehyeUUtXzJFsMI4w_GaQ,_RD3ttaipKr1X3a0F2YeCQ,2018-07-22 18:19:22,reply,eJRhoL8g0PY,twitter
BvH1gJT-8i5Xurp6DF9pkQ,ofCdGCumbEh_9-jwxA_0Iw,2018-04-18 22:43:57,reply,zwQvinmry5U,twitter
d5YWHdASwQH1jaUc1Yghnw,JTNo3--vXvkDA-pR9b-Khw,2018-12-03 17:16:26,tweet,b8bIupYSZeU,twitter
bkHm-FnrhEFoY30umYu2lA,JTNo3--vXvkDA-pR9b-Khw,2018-09-12 23:35:05,reply,_r4ZxCl1tSE,twitter
DuZ3zK7wYhAWffcNJQIfxA,ofCdGCumbEh_9-jwxA_0Iw,2018-07-18 20:42:51,reply,CCmN6X_7kn0,twitter
usNa1-LC_p8j2wffcegOQQ,s1A_mxwiA13d4X-zYD-v7g,2018-07-29 16:44:31,reply,_x3fqwR13Ak,twitter
QWfQpU-6HvWecFHErfU2Cw,ofCdGCumbEh_9-jwxA_0Iw,2018-05-08 14:39:34,reply,0EXtHoOi7_4,twitter
pVsGuSqrNfoDSsfPjoZOVA,avFVoKjh8eXVilGBbtUdJg,2018-10-19 21:05:05,tweet,hnY2hlo0x_M,twitter
i86IrmC5eHVsKpa0LrjQyQ,ofCdGCumbEh_9-jwxA_0Iw,2018-12-01 06:19:30,reply,-AhzCC-UWn8,twitter
SoqWnFZh-U2Zf6GMbZbWpQ,MplRBp_8R8D_-ribrl7FtA,2018-04-20 00:29:07,reply,CCmN6X_7kn0,twitter
ufJG3ChSSgiD-FFOmylmlw,MplRBp_8R8D_-ribrl7FtA,2018-05-10 19:47:44,reply,3vNwe7yKbwo,twitter
alrI-q-QZV80im0yWJvbmA,VTBDGPirdPwcMi--Usqmlw,2018-07-25 18:04:17,tweet,jZEC6xfBcPM,twitter
R59-Y6qUbA5QVDwOPa_S5g,VTBDGPirdPwcMi--Usqmlw,2018-06-03 19:06:21,tweet,CCmN6X_7kn0,twitter
aEK8J73EdlISKxl_Ac91Uw,VTBDGPirdPwcMi--Usqmlw,2018-04-16 08:55:57,reply,Jq4LEIO740A,twitter
S_jBhgpIDipfsBz27bkhpg,tIm1kdkWLgh7-CwmdYqEyQ,2018-04-03 21:31:26,reply,yaZRZo9FGQI,twitter
zSAhv0GHu0ynQZpmp2xk8w,JTNo3--vXvkDA-pR9b-Khw,2018-07-25 17:49:42,reply,CCmN6X_7kn0,twitter
Ns-7vxEcyj621zAd8ts5kQ,KIEXwrW6MIwF0ffTPcLCeQ,2018-04-15 09:45:21,tweet,UlONZ01SV5w,twitter
Ya9dG7lWslYc4yZDxYJG4A,TOD4U_FZXs_d25id-WGGNA,2018-09-08 12:37:32,tweet,amtWcEq1XHQ,twitter
qflWcDydtAU9gTKR3cg7Gw,qc61_CZ48UzlI9ulAbX4Ow,2019-03-29 20:35:08,tweet,DPgOnD0n9uw,twitter
NieyBhUqPYvLZqAXPk0aSw,qc61_CZ48UzlI9ulAbX4Ow,2018-12-25 18:06:57,tweet,3vNwe7yKbwo,twitter
j1IxYU8hIdnVbivQ9s1qAg,qc61_CZ48UzlI9ulAbX4Ow,2018-05-13 14:00:19,tweet,p3wJjK4Kxmo,twitter
6iU8X5J-mFhcuP5nrJ0Reg,oXxI66Tl3EC5EcWxb5k10A,2018-05-11 07:16:54,reply,gmXsGO5qcA4,twitter
vSmbESE2ERgD7npanWlZMw,qc61_CZ48UzlI9ulAbX4Ow,2018-05-21 14:19:52,tweet,iCDpgOv2STA,twitter
RHOwiyddQnf0HqT7VGr__A,ofCdGCumbEh_9-jwxA_0Iw,2018-12-23 13:19:13,reply,sjp7c_6xjqs,twitter
mQaUWxnPtunG3YTgxFfhnQ,g8_TF7OCvcyGruku1ZwRxA,2019-02-17 12:04:35,reply,qMpJT2f5Xc8,twitter
vHGFVa4CwaGML3rgG5hcmQ,TjPStJ5B1aVhNKlRu3E1dw,2018-04-10 00:53:21,reply,uHfUiw1d1tg,twitter
M1bSy5n69FQhth-PYLLQcw,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-11 18:50:00,reply,R6ihyRoj4UI,twitter
BV6KN-4Kr2A4frujAiw9YQ,Y2xVmPo9lG6Wn3Yzi383BQ,2019-03-12 01:58:12,reply,CCmN6X_7kn0,twitter
BS-b3bfo3xdSWFiygqv0VA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-10-13 08:46:02,reply,3HCFol7g-FU,twitter
5Oq7R-P8m0BhPZsuu183uA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-08-20 14:40:19,reply,8LnVHw96jFs,twitter
d1VRYvNEE25skOTL6C3YuA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-12-31 04:49:03,reply,b8bIupYSZeU,twitter
FyMMce4TvCvnxjx1vDB5Vg,Y2xVmPo9lG6Wn3Yzi383BQ,2019-01-21 03:03:47,reply,yaZRZo9FGQI,twitter
RBnWUquE_X5F_AGUrD8IJQ,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-23 21:22:15,reply,CCmN6X_7kn0,twitter
hzQ1Md0h0kN_DtL1a-LLUg,Y2xVmPo9lG6Wn3Yzi383BQ,2018-06-03 12:09:35,reply,thxkhGqTdPg,twitter
8nYCvLHP1muTH2RKSdH8rQ,Y2xVmPo9lG6Wn3Yzi383BQ,2018-08-01 00:19:56,reply,vPRagJKxED4,twitter
vAMkINfKgfg9lRF4vhdT1Q,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-16 15:03:04,reply,CCmN6X_7kn0,twitter
-D95Clt6iw5YQoNrIjfSKw,Y2xVmPo9lG6Wn3Yzi383BQ,2019-01-05 22:43:57,reply,3vNwe7yKbwo,twitter
7EKI9h3Mbk5bExjeJMSMYA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-05-25 03:04:52,reply,3vNwe7yKbwo,twitter
0LDgOOe87os2BrTQNRKqgQ,Y2xVmPo9lG6Wn3Yzi383BQ,2019-01-28 22:42:49,reply,yaZRZo9FGQI,twitter
yKC9CJCQDs8TwrHmlSXaxQ,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-22 22:27:55,reply,CCmN6X_7kn0,twitter
_VdDzArm_gnVWRqoyQqIMA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-15 13:18:06,reply,uHfUiw1d1tg,twitter
5Lt5Tta6_ias6Qj3QoDuyg,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-10 07:19:47,reply,7R2QhK0-Pe8,twitter
Tk138FfMwIYsRLdwnzXhqw,Y2xVmPo9lG6Wn3Yzi383BQ,2019-04-09 09:33:38,reply,CV9eHuJz-WQ,twitter
pY0gJDRsdpmUcupfK__5Kg,Y2xVmPo9lG6Wn3Yzi383BQ,2018-05-03 19:25:43,reply,p3wJjK4Kxmo,twitter
8EDJsrkDabp117o8mGxXdg,Y2xVmPo9lG6Wn3Yzi383BQ,2018-07-29 23:15:36,reply,0ZzE6JLChEQ,twitter
suw5pdj-yvyMZlOOMyr7yQ,Y2xVmPo9lG6Wn3Yzi383BQ,2018-07-23 01:34:00,reply,DPgOnD0n9uw,twitter
6a-bPxM2MNsq9kp5P4Kgww,VTBDGPirdPwcMi--Usqmlw,2018-04-22 18:22:24,tweet,CCmN6X_7kn0,twitter
UlqI8XcAw6iGW9ieMq2IjA,Y2xVmPo9lG6Wn3Yzi383BQ,2018-09-02 04:04:52,reply,JifBie5ZuuA,twitter
CeKf4yyDlD-OLNqMy2HHpw,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-16 20:01:59,reply,JifBie5ZuuA,twitter
mLESPMSlxFQAYWeEewqD9g,Y2xVmPo9lG6Wn3Yzi383BQ,2018-04-12 17:45:54,reply,DFesE0q2-_I,twitter
q_YHjbhFdTNwmJoaQ-6uSw,Y2xVmPo9lG6Wn3Yzi383BQ,2018-05-14 14:14:57,reply,CLRsB_QJvkI,twitter
GpYLSNi5XwlJ3wnejuxZuw,Y2xVmPo9lG6Wn3Yzi383BQ,2018-08-26 18:37:10,reply,amtWcEq1XHQ,twitter
cDyuofMoEuwP_DwybGt00A,Y2xVmPo9lG6Wn3Yzi383BQ,2019-04-16 21:55:00,reply,SgGNzj6rKqI,twitter
c6HJjoCmaJNE0PUPxSqcvg,Y2xVmPo9lG6Wn3Yzi383BQ,2019-01-17 05:00:48,reply,HIjne4Rwteo,twitter
sdjaoCFzDgfSRXE5lpBMyg,Y2xVmPo9lG6Wn3Yzi383BQ,2018-07-23 11:42:51,reply,OfoHWGPSX1Q,twitter
2D5E7uyQiqbCBRJuKkAkhw,Y2xVmPo9lG6Wn3Yzi383BQ,2019-02-08 04:42:57,reply,DPgOnD0n9uw,twitter
y6eN5qPOyYAq62ykhU7hyQ,l_qNOXmZ3tBXkEZjGaqt4Q,2018-07-23 23:49:04,tweet,CCmN6X_7kn0,twitter
Fc36Ci86Pdog1OHYvs75Mw,BWz9g3a1XXILwtKqnIUg3Q,2019-03-11 21:12:35,reply,CCmN6X_7kn0,twitter
5LEaRa0-zGFvnhbIg9YYJw,Y2xVmPo9lG6Wn3Yzi383BQ,2018-07-23 18:56:42,reply,5k6hSS6xBTw,twitter
OTFTXmxyaJ1uF8KyNZH1PA,Y2xVmPo9lG6Wn3Yzi383BQ,2019-01-12 15:42:42,reply,9YFVxWgJKQQ,twitter
MLdaNjL3g58CmrngVRWQWw,BWz9g3a1XXILwtKqnIUg3Q,2018-10-22 08:54:35,reply,CCmN6X_7kn0,twitter
hPCr0_Es46lb1rqS2RpMvg,FknCIqEQSA8XbeVAMEEP5A,2018-04-14 21:35:40,tweet,3vNwe7yKbwo,twitter
UV-Jmzgj4TBgF_rQco9P3A,_5BjP3I8V_Aj2zITWgcsNA,2018-08-26 02:47:38,reply,CLRsB_QJvkI,twitter
IEluSPjH8AF5gIJFoNlmvQ,_5BjP3I8V_Aj2zITWgcsNA,2018-12-20 14:45:50,reply,3vNwe7yKbwo,twitter
w-rMBvs9hdDa-pzEZOrzFw,o6-GkBIdeynRSy0uwscNJQ,2019-02-21 18:33:25,reply,CCmN6X_7kn0,twitter
fGzeRtNl-nfCYXZxKbkODA,-rvQn-B86tRYcvmPEFOuBw,2018-04-20 13:12:55,reply,vPRagJKxED4,twitter
Ygcc9xub4eOFyXiO-uZS7w,-rvQn-B86tRYcvmPEFOuBw,2018-04-09 20:02:19,tweet,LQ6wjoVAwHQ,twitter
hcPGnAbVoRz0586mQZnu0Q,-rvQn-B86tRYcvmPEFOuBw,2019-02-16 16:55:02,reply,X27B0yuazGo,twitter
6V0VQQlRdWtFYQ2bm2l6QA,-rvQn-B86tRYcvmPEFOuBw,2018-07-23 12:08:43,reply,7edMjIwLg14,twitter
PKfxDFf8mFqRGxLVoK-WmQ,-rvQn-B86tRYcvmPEFOuBw,2019-01-02 01:51:11,quote,0EXtHoOi7_4,twitter
JZnziZ04Q4ilZL18I0_54g,TOD4U_FZXs_d25id-WGGNA,2018-04-15 20:12:11,reply,p3wJjK4Kxmo,twitter
7H8-9Tg8O7PV8wA0ofsDcg,oY6BaWTZ77JwdXqL0pdBfg,2018-09-25 09:38:53,reply,3vNwe7yKbwo,twitter
q6yx7KbJ4dmOG1YD8Uluyg,BWz9g3a1XXILwtKqnIUg3Q,2018-04-15 15:28:18,reply,QIW005lTkwM,twitter
iOg_vqcX_2_nJzeZjX_ZIg,oY6BaWTZ77JwdXqL0pdBfg,2018-05-05 04:11:52,tweet,CCmN6X_7kn0,twitter
Y9_IfCl5ka___ypXPvEAcw,M8Yd28PSO7j9Jl4GxHlBcw,2019-02-20 14:40:59,reply,CCmN6X_7kn0,twitter
SY_AxdbeEC2Wmt-bJoY0lQ,uCFbq7K-4gCWhjkNoJbn8Q,2018-04-19 15:18:50,tweet,Jq4LEIO740A,twitter
hlOZkNgpZrhoEbhSM0cTDQ,vCTuvaJj5_zvQ4jzwRFNnw,2018-07-23 00:22:49,reply,CYflh9ltqDY,twitter
TYwo0YVxKbtvFTLA6Gwgpg,vCTuvaJj5_zvQ4jzwRFNnw,2018-09-11 05:49:53,tweet,HkHb0E3I80I,twitter
JisslDrlEJJRP-53ndQPpg,uCFbq7K-4gCWhjkNoJbn8Q,2018-12-18 23:05:05,tweet,NOda2UnQuYg,twitter
YiXQ_nb839YUanK9wM61MA,vCTuvaJj5_zvQ4jzwRFNnw,2018-05-03 20:12:52,reply,DPgOnD0n9uw,twitter
cKBCEmSlnozJ9CqbItDTgg,vCTuvaJj5_zvQ4jzwRFNnw,2018-11-02 16:48:38,tweet,CCmN6X_7kn0,twitter
Tla92FD_f1D_g97WjMUpDw,jWx1--fpQu_dBpIZTuBoWQ,2018-09-10 13:28:24,reply,1gtUh_XDAjw,twitter
1lC9TBOhfVPsnBKg_4D32Q,TOD4U_FZXs_d25id-WGGNA,2018-07-29 00:39:39,reply,p3wJjK4Kxmo,twitter
fdMOlZvUZvZtGY2FBchvfQ,-rvQn-B86tRYcvmPEFOuBw,2019-01-24 08:51:10,reply,0ZzE6JLChEQ,twitter
SyigvBBoddfQ0TmKdefFHw,lSmQYvUcuGn6oFyjGJduDw,2019-02-19 14:54:48,tweet,CCmN6X_7kn0,twitter
LArvGqlyw1DIXp20LNccMw,E-MbKKOA1RKc8n1D3Oe16Q,2018-04-19 05:51:08,reply,O31d9cRuKtE,twitter
IEPkd1zLqroEe_Hlco79LQ,ofCdGCumbEh_9-jwxA_0Iw,2018-12-30 10:53:52,reply,hZmY9YDqsgU,twitter
qMtxYHAQtok5zdml9cCC0w,ulOrYfWT-2GUWv_KpaQGhg,2018-07-29 00:18:19,tweet,-ilNuSh1Fgw,twitter
1U74iLv-SDm2FoeCdc3Rig,QARqikW2wL1yxAkHGH4SjA,2018-07-23 00:10:44,reply,3vNwe7yKbwo,twitter
fv430SdNfTe56rKaGPq5bw,QARqikW2wL1yxAkHGH4SjA,2018-05-24 02:05:36,reply,kgVzykMyVGk,twitter
OvmMwJ-LSgK_hyfgpf9emg,QARqikW2wL1yxAkHGH4SjA,2018-07-22 17:49:30,reply,X27B0yuazGo,twitter
w-oYHBDMs8plWddqEJOZzA,v5_9gBSVKea25TVnDxSb5g,2018-09-19 01:14:28,tweet,DvTx_EjHf5E,twitter
